CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
166764100,CVX,CHEVRON CORP NEW,3284841,3284841,510.1M,510.1M,NEW,0.81%
G7709Q104,RPRX,ROYALTY PHARMA PLC,11965633,5965633,422.15M,210.47M,+99.4%,0.67%
03831W108,APP,APPLOVIN CORP,246200,246200,176.9M,176.9M,NEW,0.28%
478160104,JNJ,JOHNSON & JOHNSON,2263657,927087,419.73M,171.9M,+69.4%,0.66%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,287232,287232,138.78M,138.78M,NEW,0.22%
742718109,PG,PROCTER AND GAMBLE CO,3785073,855700,581.58M,131.48M,+29.2%,0.92%
20825C104,COP,CONOCOPHILLIPS,5932377,1367223,561.14M,129.33M,+29.9%,0.89%
G0403H108,AON,AON PLC,646069,343800,230.38M,122.59M,+113.7%,0.36%
530307305,LBRDK,LIBERTY BROADBAND CORP,2538267,1905767,161.28M,121.09M,+301.3%,0.26%
64361Q101,VNOM,VIPER ENERGY INC,4686701,3120890,179.13M,119.28M,+199.3%,0.28%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,482495,304303,188.96M,119.18M,+170.8%,0.3%
244199105,DE,DEERE & CO,253764,253764,116.04M,116.04M,NEW,0.18%
282559103,ETNB,89BIO INC,9097587,7128587,133.73M,104.79M,+362%,0.21%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,538880,213156,261.37M,103.38M,+65.4%,0.41%
770700102,HOOD,ROBINHOOD MKTS INC,703800,703800,100.77M,100.77M,NEW,0.16%
G51502105,JCI,JOHNSON CTLS INTL PLC,2552642,866281,280.66M,95.25M,+51.4%,0.44%
816851109,SRE,SEMPRA,1643370,1046000,147.87M,94.12M,+175.1%,0.23%
002824100,ABT,ABBOTT LABS,2296987,699272,307.66M,93.66M,+43.8%,0.49%
00370M103,ABVX,ABIVAX SA,977629,977629,83M,83M,NEW,0.13%
149123101,CAT,CATERPILLAR INC,327324,163740,156.18M,78.13M,+100.1%,0.25%
G76279101,ROIV,ROIVANT SCIENCES LTD,7232383,5150000,109.43M,77.92M,+247.3%,0.17%
31488V107,FERG,FERGUSON ENTERPRISES INC,712091,337929,159.92M,75.89M,+90.3%,0.25%
438516106,HON,HONEYWELL INTL INC,535416,329860,112.71M,69.44M,+160.5%,0.18%
