CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,Alphabet Inc,2112695,2014236,202.08M,192.66M,+2045.8%,0.6%
67066G104,NVDA,NVIDIA Corp,5818035,1101058,706.25M,133.66M,+23.3%,2.1%
G9460G101,VAL,Valaris Ltd,1902492,1902492,93.11M,93.11M,NEW,0.28%
038222105,AMAT,Applied Materials Inc,4598930,1099462,376.79M,90.08M,+31.4%,1.1%
34959E109,FTNT,Fortinet Inc,1800495,1718625,88.46M,84.44M,+2099.2%,0.26%
98138H101,WDAY,Workday Inc,1079085,541353,164.26M,82.4M,+100.7%,0.49%
G0176J109,ALLE,Allegion PLC,881906,870361,79.09M,78.05M,+7538.9%,0.24%
57060D108,MKTX,MarketAxess Holdings Inc,348906,344316,77.63M,76.61M,+7501.4%,0.23%
254687106,DIS,Walt Disney Co/The,1628203,800302,153.59M,75.49M,+96.7%,0.46%
20030N101,CMCSA,Comcast Corp,4749185,2483867,139.29M,72.85M,+109.6%,0.41%
459506101,IFF,International Flavors & Fragrances Inc,813170,751284,73.86M,68.24M,+1214%,0.22%
89400J107,TRU,TransUnion,2301642,1119469,136.93M,66.6M,+94.7%,0.41%
80013R206,SAND,Sandstorm Gold Ltd,28742265,8319993,148.6M,43.01M,+40.7%,0.44%
02079K107,GOOG,Alphabet Inc,435919,415507,41.91M,39.95M,+2035.6%,0.12%
91912E105,VALE,Vale SA,4090723,2940900,54.49M,39.17M,+255.8%,0.16%
874039100,TSM,Taiwan Semiconductor Manufacturing Co L,10023610,523674,687.22M,35.9M,+5.5%,2%
826599102,SGML,Sigma Lithium Corp,1124805,1107401,30.58M,30.11M,+6362.9%,0.09%
29786A106,ETSY,Etsy Inc,1889010,272276,189.15M,27.26M,+16.8%,0.56%
58733R102,MELI,MercadoLibre Inc,271631,32266,224.85M,26.71M,+13.5%,0.67%
405552100,HLN,Haleon PLC,4236499,4236499,25.8M,25.8M,NEW,0.08%
79466L302,CRM,Salesforce.com Inc,1090507,171083,156.86M,24.61M,+18.6%,0.47%
